CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
79.4,204.33,37.24,13.69
53.6,207.00,36.80,13.89
79.5,204.33,37.19,13.36
27.2,207.00,36.21,13.21
107.1,204.33,36.82,13.66
26.5,207.00,37.17,14.03
80.3,204.33,36.82,13.40
54.2,207.00,36.29,13.49
80.5,204.33,36.72,13.48
53.1,207.00,37.13,13.89
53.1,204.33,37.11,13.71
54.5,207.00,36.12,13.28
53.8,204.33,36.65,13.32
79.8,207.00,37.08,13.72
52.8,204.33,37.32,13.65
98.3,207.00,40.14,16.62
52.8,204.33,37.37,17.66
80.4,207.00,36.95,17.59
83.0,204.33,35.71,17.10
51.4,207.00,38.45,16.17
107.3,204.33,36.93,17.17
75.5,207.00,39.37,19.01
78.2,204.33,37.99,18.08
28.6,207.00,34.55,16.05
106.3,204.33,37.23,16.08
66.3,207.00,44.72,20.09
61.1,204.33,32.41,18.78
84.1,207.00,35.34,16.76
82.1,204.33,36.22,16.66
75.6,207.00,39.32,18.42
78.1,204.33,38.05,17.68
57.3,207.00,34.59,16.46
105.1,204.33,37.70,17.04
49.5,207.00,39.99,17.88
84.3,204.33,35.10,16.30
81.1,207.00,36.43,15.88
51.7,204.33,38.09,17.02
78.5,207.00,37.62,16.72
79.3,204.33,37.22,16.90
55.8,207.00,35.27,15.81
78.5,204.33,37.67,16.29
78.3,207.00,37.73,16.24
80.9,204.34,36.27,16.67
80.4,207.02,36.66,16.74
77.1,204.34,38.36,17.01
52.6,207.02,37.47,17.15
82.9,204.34,35.64,15.90
79.8,207.02,37.07,16.00
52.1,204.34,37.85,16.62
81.4,207.02,36.30,16.33
79.2,204.34,37.32,16.59
53.3,207.03,36.91,16.69
80.0,204.36,36.93,16.65
79.8,207.03,37.02,16.28
80.4,204.36,36.72,16.00
79.3,207.03,37.24,16.37
52.7,204.36,37.35,16.49
